"","STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","ABSTRACT","YEAR","VOLUME","LPAGES","UPAGES","DOI","MORTALITY_SURVIVAL_ORGANISM_VIABILITY","LD50_WITH_CI_AVAILABLE","DATA_REQUEST_REQUIRED","OTHER_ENDPOINTS_STUDIED","COMMENTS"
"21","scopus517","Guy","YES","Sakshaug J.","acute oral toxicity to laboratory animals of fenthion (o o dimethyl o (3 methyl 4 methyl mercapto phenyl) thiophosphate) in different formulations; [die akute orale toxizität verschiedener emulsionen des stoffes fenthion (o o dimethyl o (3 methyl 4 methylmercapto phenyl) thiophosphat) gegenüber ratten und mäusen]; [den akutte orale toksisitet for rotte og mus av fenthion (oo dimethyl o (3 methyl 4 methylmercapto fenyl) thiofosfat) i forskjellige formuleringer]","Acta Veterinaria Scandinavica","The acute, oral toxicity of fenthion (O,O-dimethyl-O-(3-methyl-4-methylmercapto-phenyl)thiophosphate) in different formulations emulgated in water was studied. For male, white rats the approximate values for LD50 found varied from 340 to 560 mg per kg, technical fenthion in commercial products being more toxic than the chemically pure compound. Fenthion in the commercial preparation Lebaycid was more toxic for male, white mice (LD50 approx. 125 mg per kg) than for rats. © 1965, The Author(s).",1965,"6","112","117","10.1186/BF03547071","YES","YES","NO","n/a","n/a"
"22","wos2103","Guy","YES","Sayim, F","acute toxic effects of malathion on the 21(st) stage larvae of the marsh frog","TURKISH JOURNAL OF ZOOLOGY","Currently, amphibian decline is accepted as a global problem. One of the most important proposed causes for the decline is the use of agrochemicals, especially pesticides. Nevertheless, information about the impact of pesticides on amphibian populations remains scarce. The present study sought to identify the effects of malathion, an organophosphorus insecticide, on 21(st) stage larvae of the marsh frog, Rana ridibunda, with an acute toxicity test using a static system. Each experimental group contained 10 healthy larvae and was exposed to different concentrations of technical and formulation grade malathion for 96 h. Concentrations of malathion that caused 50% mortality (LC(50)) at 96 h were estimated using a probit analysis program. The results showed that formulation grade malathion (LC(50) = 29 ppm) was more toxic than technical grade malathion (LC(50) = 38 ppm). Malformations, certain signs of toxicity (hyperactive symptoms, loss of balance, motionlessness, and death), and growth retardation were observed in malathion-treated larvae.",2008,"32","99","106",NA,"YES","YES","NO","GROWTH/DEVELOPMENT","n/a"
"23","wos946","Guy","YES","Wagner, N; Lotters, S; Veith, M; Viertel, B","acute toxic effects of the herbicide formulation and the active ingredient used in cycloxydim tolerant maize cultivation on embryos and larvae of the african clawed frog xenopus laevis","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","Most genetically engineered herbicide-tolerant crops are still awaiting approval in Europe. There is, however, a recent trend for the cultivation of cycloxydim-tolerant maize hybrids for use in maize production. We studied the acute toxic effects of the complementary herbicide Focus(A (R)) Ultra and its active ingredient cycloxydim on embryos and early-stage larvae of the African clawed frog (Xenopus laevis). The results indicate that the herbicide formulation is significantly more toxic than the active ingredient alone. Therefore, it is suggested that the added substances either solely or in a synergistic action with the active ingredient are responsible for adverse effects. The formulation was found to be moderately toxic to embryos but highly toxic to early larvae. Based on calculated teratogenic indices, both cycloxydim and Focus(A (R)) Ultra seem to be non-teratogenic and also the minimum Focus(A (R)) Ultra concentration to inhibit growth in embryos and larvae was close to the LC50 values. The data suggest that tests with the rainbow trout are not in all cases appropriate to assess the risk in aquatically developing anurans. This is demonstrated by 96-h LC50 values, which are for rainbow trout more than 50- to 20-fold higher than for early X. laevis larvae. However, based on worst-case predicted environmental concentrations for surface waters, there is apparently a large safety margin in field use of Focus(A (R)) Ultra if buffer strips between the farm land and the amphibian habitats are regarded.",2015,"94","412","418","http://dx.doi.org/10.1007/s00128-015-1474-z","YES","YES","NO","n/a","n/a"
"24","wos315","Guy","YES","Osterberg, JS; Darnell, KM; Blickley, TM; Romano, JA; Rittschof, D","acute toxicity and sub lethal effects of common pesticides in post larval and juvenile blue crabs callinectes sapidus","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","The coastal plains of the southeastern United States support extensive agricultural operations that apply pesticides and herbicides. The shallow tidal creeks and ditches that directly drain agricultural fields are home to the young of the ecologically and economically important blue crab, Callinectes sapidus (Rathbun, 1896). Massive mortality observed by peeler crab fishers led us to investigate the acute toxicity of several commercial pesticide formulations and their active ingredients to blue crab megalopae and J1-J4 stage juveniles. Twenty-four hour acute toxicity assays were conducted with the organophosphate acephate (Orthene (R)), the carbamate aldicarb, the chloro-nicotinyl imidacloprid (Trimax (TM)), the pyrethroid lambdacyhalothrin (Karate (R) with Zeon Technology), and the glyphosate-based herbicide Roundup (R) Pro. LC50 values ranged from 0.22 mu g/L for megalopae exposed to lambda-cyhalothrin to 316,000 mu g/L for juveniles exposed to Roundup. The acute toxicities of active ingredient insecticides to blue crabs followed the order: lambda-cyhalothrin > imidacloprid approximate to aldicarb > acephate. Megalopae were almost always more sensitive than juveniles and there was little difference between the LC(50)s of each commercial formulation and its active ingredient. Treatment of intermolt megalopae with LC20 levels of Roundup resulted in significantly reduced time to metamorphosis (TTM) compared to estuarine water controls, while no differences resulted from treatment with the four active ingredient insecticides. Treatment with acephate, aldicarb, imidacloprid, and Roundup significantly increased the frequency of juveniles that died within 6 h of molting. The sensitivity of molting blue crabs to these pesticides makes frequently molting juveniles particularly vulnerable to pesticides in estuaries. (C) 2012 Elsevier B.V. All rights reserved.",2012,"424","5","14","http://dx.doi.org/10.1016/j.jembe.2012.05.004","YES","YES","NO","n/a","n/a"
"27","wos2030","Guy","YES","Weir, SM; Yu, SY; Salice, CJ","acute toxicity of herbicide formulations and chronic toxicity of technical grade trifluralin to larval green frogs (lithobates clamitans)","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","Fewer toxicity studies have been performed on herbicides than on insecticides despite heavier use of herbicides and evidence of herbicide formulation toxicity to amphibians. We conducted acute and chronic toxicity tests with the herbicide trifluralin (2,6-dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline) on tadpoles. Herbicide formulations had lower median lethal concentrations than an insecticide formulation and technical-grade trifluralin. Chronic trifluralin exposure resulted in significantly smaller tadpoles at low concentrations (20?mu g/L) compared with controls and 200-mu g/L treatments. Environ. Toxicol. Chem. 2012; 31: 20292034. (c) 2012 SETAC",2012,"31","2029","2034","http://dx.doi.org/10.1002/etc.1910","YES","YES","NO","GROWTH","n/a"
"29","scopus307","Guy","YES","Buhl K.J.; Faerber N.L.","acute toxicity of selected herbicides and surfactants to larvae of the midge chironomus riparius","Archives of Environmental Contamination and Toxicology","The acute toxicities of eight commercial herbicides and two surfactants to early fourth instar larvae of the midge Chironomus riparius were determined under static conditions. The formulated herbicides tested were Eradicane® (EPTC), Fargo® (triallate), Lasso® (alachlor), ME4 Brominal® (bromoxynil), Ramrod® (propachlor), Rodeo® (glyphosate), Sencor® (metribuzin), and Sutan (+)® (butylate); the two surfactants were Activator N.F.® and Ortho X-77®. In addition, technical grade alachlor, metribuzin, propachlor, and triallate were tested for comparison with the formulated herbicides. The relative toxicity of the commercial formulations, based on percent active ingredient, varied considerably. The EC50 values ranged from 1.23 mg/L for Fargo® to 5,600 mg/L for Rodeo®. Fargo®, ME4 Brominal®, and Ramrod® were moderately toxic to midge larvae; Lasso®, Sutan (+)®, and Eradicane® were slightly toxic; and Sencor® and Rodeo® were practically non-toxic. The 48-hr EC50 values of the two surfactants were nearly identical and were considered moderately toxic to midges. For two of the herbicides in which the technical grade material was tested, the inert ingredients in the formulations had a significant effect on the toxicity of the active ingredients. Fargo® was twice as toxic as technical grade triallate, whereas Sencor® was considerably less toxic than technical grade metribuzin. A comparison of the slope function values indicated that the toxic action of all the compounds occurred within a relatively narrow range. Published acute toxicity data on these compounds for other freshwater biota were tabulated and compared with our results. In general, the relative order of toxicity to C. riparius was similar to those for other freshwater invertebrates and fish. Maximum concentrations of each herbicide in bulk runoff during a projected ""critical"" runoff event were calculated as a percentage of the application rate lost in a given volume of runoff. A comparison between estimated maximum herbicide concentrations in runoff and results of acute tests indicated that Ramrod®, ME4 Brominal®, and Lasso® pose the greatest direct risk to midge larvae during a storm event. © 1989 Springer-Verlag.",1989,"18","530","536","10.1007/BF01055019","YES","YES","NO","n/a","n/a"
"30","scopus3635","Guy","YES","Sanders H.O.; Finley M.T.; Hunn J.B.","acute toxicity of six forest insecticides to three aquatic invertebrates and four fishes.","Technical Paper - US Fish & Wildlife Service","Technical grade and field formulations of methomyl, carbaryl, aminocarb, trichlorfon, fenitrothion, and acephate were tested for acute toxicity against a daphnid, Daphnia magna; and amphipod Gammarus pseudolimnaeus; larvae of a midge, Chironomus plumosus, and 4 species of fish (bluegill, Lepomis macrochirus; rainbow trout, Salmo gairdneri; fathead minnow, Pimephales promelas; and channel catfish, Ictalurus punctatus). Five of the six insecticides tested were highly toxic (EC50, 100-1, 000mu g/L) or extremely toxic (EC50, = or <100mu g/L) to the daphnid, amphipod, and midge larvae; the 48-h EC50s ranged from 320 to 0.10mu g/L for daphnids and midge larvae;, and the 96-h LC50 from 2 to 920mu g/L for the amphipod. Acephate was not toxic to invertebrates at concentrations up to 50 mg/L. Five of the insecticides ranged from highly toxic (methomyl, to channel catfish) to relatively non-toxic (trichlorfon, to fathead minnows); acephate was only slightly toxic to the fishes tested. In tests with bluegills and rainbow trout, the toxicity of methomyl and fenitrothion was little influenced by temperature, pH, or water hardness but that of carbaryl, aminocarb, and trichlorfon generally increased with increasing temperature or pH, or both.-from Sport Fishery Abstracts",1983,"110","","","","YES","YES","NO","n/a","n/a"
"31","wos279","Guy","YES","BUHL, KJ; HAMILTON, SJ; SCHMULBACH, JC","acute toxicity of the herbicide bromoxynil to daphnia magna","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","The acute toxicities of technical-grade bromoxynil octanoate (BO) and two commercial formulations, Buctril(R) and Bronate(R), to <24-h-old neonate Daphnia magna (Straus) were determined in soft, hard, and oligosaline water. In addition, effects of life stage, feeding, aging the herbicide, and exposure duration on BO toxicity to daphnids were investigated. Regardless of formulation, life stage, and water quality, BO was found to be extremely to highly toxic to daphnids in standard tests; 48-h EC50 values ranged from 41 to 161 mug/L. Bromoxynil octanoate was the most toxic to neonates in soft water and the least toxic in hard water. The acute toxicities of the three bromoxynil herbicides to a given age group of daphnids were similar within the same water type. Overall, neonates and 7-d-old adults were more sensitive than 14- or 15-d-old adults to each herbicide. Feeding daphnids during the toxicity test significantly decreased BO toxicity compared to not feeding them. Aging BO (as Buctril) in hard water decreased its toxicity, and the rate of deactivation was rapid, with an estimated half-life of biological activity of 13 h. Daphnids immobilized by exposures to toxic BO concentrations for less-than-or-equal-to 6 h recovered their mobility, whereas exposures of 18 and 24 h to BO produced toxic effects in daphnids similar to those exposed for 48 h. These results indicated that standard continuous exposure tests may not adequately predict the acute toxicity of BO to freshwater animals in the field.",1993,"12","1455","1468","http://dx.doi.org/10.1002/etc.5620120813","YES","YES","NO","n/a","n/a"
"33","wos878","Guy","YES","Hooser, EA; Belden, JB; Smith, LM; McMurry, ST","acute toxicity of three strobilurin fungicide formulations and their active ingredients to tadpoles","ECOTOXICOLOGY","Fungicide applications in the United States have increased tenfold in the last 5 years. Formulations and active ingredients (AIs) have been demonstrated to cause acute mortality to amphibian life stages. However, there has been little to no discrimination between the toxicity of fungicide formulations and their AIs. Therefore, we compared the acute toxicity of the active ingredients and formulations of the fungicides Headline(A (R)), Stratego(A (R)), and Quilt(A (R)) using Bufo cognatus tadpoles exposed to four concentrations and a control. All fungicides, including AIs and formulations, demonstrated toxicity to tadpoles, with Headline(A (R)) and Stratego(A (R)) causing 100 % mortality at the highest concentrations. Exposure to Quilt(A (R)) formulation and its AIs resulted in 50-60 % tadpole mortality. Overall, toxicity was comparable between AIs and formulations for all fungicides and concentrations, with the exception of Headline(A (R)) at 5 mu g/L, where formulation exposure resulted in 79 % mortality versus no mortality from exposure to the AI. Results suggest the AIs are responsible for most mortality for Quilt(A (R)) and Stratego(A (R)). Results for Headline(A (R)) however suggest that although the AI is toxic to tadpoles at environmentally relevant concentrations, adjuvant(s) in the Headline(A (R)) formulation also contribute to mortality, making it the most toxic of the fungicides studied.",2012,"21","1458","1464","http://dx.doi.org/10.1007/s10646-012-0899-y","YES","NO","YES","n/a","n/a"
"39","scopus684","Guy","YES","Li B.-X.; Pang X.-Y.; Zhang P.; Lin J.; Li X.-X.; Liu Y.; Li H.; Liu F.; Mu W.","alcohol ethoxylates significantly synergize pesticides than alkylphenol ethoxylates considering bioactivity against three pests and joint toxicity to daphnia magna","Science of the Total Environment","Seeking alternatives for alkylphenol ethoxylates (APEOs) have been a heavily researched topic in the surfactant industry and agricultural systems. In this study, the combined effects of different ethoxylates and pesticides on the bioactivity against three pests and toxicological risks to Daphnia magna were investigated. Results showed that alcohol ethoxylates (AEOs) had higher synergistic effects on the bioactivity of pesticides against Spodoptera exigua, Agrotis ipsilon and Aphis citricola than did APEOs. In terms of the joint toxicity of the ethoxylates and pesticides to D. magna, additive index method, toxicity unit method, V value method and isobologram method were used in the tests. All of these methods indicated that the joint effects of APEOs + acetamiprid and APEOs + indoxacarb upon D. magna turned from synergism to antagonism with the increasing EO (ethylene oxide) numbers. Those of AEOs exhibited similar trends. Overall, AEOs may be potential alternatives for APEOs in agriculture as they synergize pesticides against three pests significantly more than do APEOs. However, further research should investigate the compounds’ environmental risks to aquatic organisms because the AEOs were highly toxic to D. magna. © 2018 Elsevier B.V.",2018,"644","1452","1459","10.1016/j.scitotenv.2018.07.012","YES","NO","YES","n/a","wasn't looking at ai vs formulation but ai + adjuvant. Request raw data and see if it can be used."
"48","wos780","Guy","YES","Simoes, T; Novais, SC; Natal-Da-Luz, T; Devreese, B; de Boer, T; Roelofs, D; Sousa, JP; van Straalen, NM; Lemos, MFL","an integrative omics approach to unravel toxicity mechanisms of environmental chemicals: effects of a formulated herbicide","SCIENTIFIC REPORTS","The use of integrative molecular approaches can aid in a comprehensive understanding of the effects of toxicants at different levels of biological organization, also supporting risk assessment. The present study aims to unravel the toxicity mechanisms of a widely used herbicide to the arthropod Folsomia candida exposed in a natural soil, by linking effects on reproduction, proteomics and genome-wide gene expression. The EC50 effects on reproduction over 4 weeks was 4.63 mg glyphosate/kg of soil. The formulation included a polyethoxylated tallowamine as an adjuvant, which at 50% effect on reproduction had an estimated concentration of 0.87-1.49 mg/kg of soil. No effects were observed on survival and reproduction when using the isolated active substance, pointing the toxicity of the formulated product to the co-formulant instead of the active ingredient, glyphosate. RNA sequencing and shotgun proteomics were applied to assess differential transcript and protein expressions between exposed and control organisms in time, respectively. Specific functional categories at protein and transcriptome levels were concordant with each other, despite overall limited correlations between datasets. The exposure to this formulation affected normal cellular respiration and lipid metabolism, inducing oxidative stress and leading to impairment in biological life cycle mechanisms such as molting and reproduction.",2018,"8",NA,NA,"http://dx.doi.org/10.1038/s41598-018-29662-6","YES","NO","YES","REPRODUCTION","n/a"
"52","wos1140","Guy","YES","Mortl, M; Takacs, E; Klatyik, S; Szekacs, A","aquatic toxicity and loss of linear alkylbenzenesulfonates alone and in a neonicotinoid insecticide formulation in surface water","SCIENCE OF THE TOTAL ENVIRONMENT","Substance losses of linear alkylbenzene sulfonates (LASs) in a neat surfactant mixture, in an insecticide formulation MOSPILAN 20 SG, and in solutions with different neonicotinoid active ingredients (AIs) was studied in distilled water and in surface water samples originated from River Danube. Analytical measurements were performed both by HPLC-UV and commercial ELISA methods. Loss rates of LASs were found different in these aqueous matrices, with decomposition rates higher for the neat surfactant mixture than for MOSPILAN 20 SG (nearly 2- and 9-fold in distilled water and in surface water from River Danube, respectively). Half-lives determined in surface water from River Danube were shown to be affected by the presence of neonicotinoid AIs thiacloprid > imidacloprid > acetamiprid (ACE), while clothianidin and thiamethoxam did not affect LAS decomposition. Aquatic toxicity of MOSPILAN 20 SG, along with that of its AI ACE and co-formulant LAS, as well as the mixture of ACE and LAS was also investigated in the 48-h acute immobilisation assay on the water flea (Daphnia magna) aquatic indicator organism. LAS appeared to be significantly (8-fold) more toxic in the D. magna test than ACE, and the toxicity of the formulated insecticide was found to be 1.3 and 19.6 times higher than explained by its AI and LAS content, respectively, indicating synergistic toxicity. The strongest synergy between ACE and LASs was observed, when the neat forms of the two substances were applied in combination at concentrations equivalent to those in MOSPILAN 20 SG. (C) 2018 Elsevier B.V. All rights reserved.",2019,"652","780","787","http://dx.doi.org/10.1016/j.scitotenv.2018.10.211","YES","YES","NO","n/a","n/a"
"53","wos2111","Guy","YES","Tsui, MTK; Chu, LM","aquatic toxicity of glyphosate based formulations: comparison between different organisms and the effects of environmental factors","CHEMOSPHERE","Glyphosate-based herbicides (e.g. Roundup((R))) are extensively used in the aquatic environment, but there is a paucity of data on the toxicity of the formulated products and the influences by environmental factors. In this study, the acute toxicity of technical-grade glyphosate acid, isopropylamine (IPA) salt of glyphosate, Roundup((R)) and its surfactant polyoxyethylene amine (POEA) to Microtox((R)) bacterium (Vibrio fischeri), microalgae (Selenastrum capricornutum and Skeletonema costatum), protozoa (Tetrahymena pyriformis and Euplotes vannus) and crustaceans (Ceriodaphnia dubia and Acartia tonsa) was examined and the relative toxicity contributions of POEA to Roundup((R)) were calculated. The effects of four environmental factors (temperature, pH, suspended sediment and algal food concentrations) on the acute toxicity of Roundup((R)) to C dubia were also examined. Generally, the toxicity order of the chemicals was: POEA > Roundup((R)) > glyphosate acid > IPA salt of glyphosate, while the toxicity of glyphosate acid was mainly due to its high acidity. Microtox((R)) bacterium and protozoa had similar sensitivities towards Roundup((R)) toxicity (i.e. IC50 from 23.5 to 29.5 mg AE/l). In contrast, microalgae and crustaceans were 4-5 folds more sensitive to Roundup((R)) toxicity than bacteria and protozoa. Except photosynthetic microalgae, POEA accounted for more than 86% of Roundup((R)) toxicity and the toxicity contribution of POEA was shown to be species-dependent. Increase in pH (6-9) and increase of suspended sediment concentration (0-200 mg/l) significantly increased the toxicity of Roundup((R)) to C dubia, but there were no significant effects due to temperature change and food addition. (C) 2003 Elsevier Science Ltd. All rights reserved.",2003,"52","1189","1197","http://dx.doi.org/10.1016/S0045-6535(03)00306-0","YES","YES","NO","n/a","n/a"
"55","coxcited142","Guy","YES","de Perre, Chloe; Williard, Karl W. J.; Schoonover, Jon E.; Young, Bryan G.; Murphy, Tracye M.; Lydy, Michael J.","assessing the fate and effects of an insecticidal formulation","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","A 3-yr study was conducted on a corn field in central Illinois, USA, to understand the fate and effects of an insecticidal formulation containing the active ingredients phostebupirim and cyfluthrin. The objectives were to determine the best tillage practice (conventional vs conservation tillage) in terms of grain yields and potential environmental risk, to assess insecticidal exposure using concentrations measured in soil and runoff water and sediments, to compare measured insecticidal concentrations with predicted concentrations from selected risk assessment exposure models, and to calculate toxicity benchmarks from laboratory bioassays performed on reference aquatic and terrestrial nontarget organisms, using individual active ingredients and the formulation. Corn grain yields were not significantly different based on tillage treatment. Similarly, field concentrations of insecticides were not significantly (p>0.05) different in strip tillage versus conventional tillage, suggesting that neither of the tillage systems would enable greater environmental risk from the insecticidal formulation. Risk quotients were calculated from field concentrations and toxicity data to determine potential risk to nontarget species. The insecticidal formulation used at the recommended rate resulted in soil, sediment, and water concentrations that were potentially harmful to aquatic and terrestrial invertebrates, if exposure occurred, with risk quotients up to 34. Environ Toxicol Chem 2015;34:197-207. (c) 2014 SETAC",2015,"34","197","207","10.1002/etc.2786","YES","NO","YES","NO","two ais and they don't properly report the ai/form comparison. With the raw data I may be able to do something. "
"57","wos840","Guy","YES","Silva, CDE; Mariette, J; Verweij, RA; van Gestel, CAM","assessing the toxicity of thiamethoxam in natural lufa 2.2 soil through three generations of folsomia candida","ECOTOXICOLOGY","In the field, long-term exposure is a rule rather than an exception. As a consequence, the relatively short-term standard toxicity tests may not be adequate for assessing long-term effects of pesticide exposure. This study determined the toxicity of the neonicotinoid thiamethoxam, both pure and in the formulation Actara (R) (25% active substance), to the springtail Folsomia candida, over three generations (P, Fl and F2). For the parental generation (P), the toxicity of pure thiamethoxam and Actara (R) did not differ significantly, with LC50S and EC50S of 0.32-0.35 and 0.23-0.25 mg a.s./kg dry soil, respectively. For the Fl and F2 generations, LC50S were >0.37 mg a.s./kg dry soil for both compounds. Actara was more toxic towards reproduction in the F1 generation (EC50 0.16 mg a.s./kg dry soil) than pure thiamethoxam (EC50 0.23 mg a.s./kg dry soil). For generation F2, there was no significant difference in the toxicity of the compounds towards reproduction, with EC50S of >0.37 and 0.30 mg a.s./kg dry soil for Actara (R) and pure thiamethoxam respectively. These results suggest a slight decrease in the toxicity of the compounds throughout the generations tested. The similarity in the toxicity of pure and formulated thiamethoxam indicates that the ingredients in the formulation Actara (R) do not enhance toxicity.",2018,"27","764","771","http://dx.doi.org/10.1007/s10646-018-1922-8","YES","YES","NO","REPRODUCTION","n/a"
